Date,Open,High,Low,Close,Adj Close,Volume
2019-08-28,1.090000,1.110000,1.090000,1.090000,1.008988,627400
2019-08-29,1.090000,1.100000,1.090000,1.100000,1.018245,59400
2019-08-30,1.100000,1.120000,1.100000,1.110000,1.027502,817400
2019-09-02,1.120000,1.120000,1.100000,1.110000,1.027502,1622400
2019-09-03,1.110000,1.120000,1.100000,1.100000,1.018245,477300
2019-09-04,1.110000,1.110000,1.080000,1.080000,0.999731,1301200
2019-09-05,1.090000,1.090000,1.040000,1.050000,0.971961,3572400
2019-09-06,1.060000,1.070000,1.050000,1.060000,0.981218,1313800
2019-09-09,1.070000,1.080000,1.060000,1.070000,0.990475,598500
2019-09-10,1.070000,1.080000,1.060000,1.060000,0.981218,685800
2019-09-11,1.070000,1.080000,1.060000,1.080000,0.999731,741000
2019-09-12,1.080000,1.090000,1.060000,1.060000,0.981218,530800
2019-09-13,1.060000,1.070000,1.050000,1.060000,0.981218,980900
2019-09-16,1.070000,1.070000,1.060000,1.060000,0.981218,778600
2019-09-17,1.070000,1.070000,1.060000,1.060000,0.981218,689500
2019-09-18,1.070000,1.070000,1.050000,1.050000,0.971961,1189600
2019-09-19,1.050000,1.050000,1.040000,1.040000,0.962704,1185500
2019-09-20,1.040000,1.050000,1.020000,1.030000,0.953447,1399900
2019-09-23,1.030000,1.030000,1.000000,1.010000,0.934934,1943100
2019-09-24,1.010000,1.010000,1.000000,1.000000,0.925677,696700
2019-09-25,1.000000,1.020000,1.000000,1.000000,0.925677,699200
2019-09-26,1.010000,1.010000,1.000000,1.010000,0.934934,882900
2019-09-27,1.010000,1.010000,1.000000,1.010000,0.934934,502000
2019-09-30,1.010000,1.010000,1.000000,1.010000,0.934934,1203300
2019-10-01,1.000000,1.010000,0.990000,1.010000,0.934934,688000
2019-10-02,1.010000,1.010000,1.000000,1.010000,0.934934,398100
2019-10-03,1.010000,1.010000,0.990000,0.990000,0.916420,573900
2019-10-04,1.000000,1.000000,0.990000,1.000000,0.925677,421100
2019-10-07,1.000000,1.010000,1.000000,1.000000,0.925677,375200
2019-10-08,1.000000,1.000000,0.990000,0.990000,0.916420,510400
2019-10-09,0.990000,1.010000,0.990000,1.010000,0.934934,1174200
2019-10-10,1.000000,1.000000,0.990000,0.990000,0.916420,176200
2019-10-11,0.990000,1.010000,0.990000,1.000000,0.925677,1229200
2019-10-15,1.000000,1.000000,0.990000,0.990000,0.916420,550100
2019-10-16,0.990000,1.000000,0.990000,0.990000,0.916420,830200
2019-10-17,0.990000,1.000000,0.990000,0.990000,0.916420,313900
2019-10-18,0.990000,1.000000,0.990000,0.990000,0.916420,250100
2019-10-21,1.000000,1.000000,0.980000,0.990000,0.916420,490300
2019-10-22,0.990000,1.000000,0.990000,0.990000,0.916420,42700
2019-10-24,0.990000,1.000000,0.970000,0.970000,0.897907,1014200
2019-10-25,0.970000,0.980000,0.900000,0.900000,0.833109,521500
2019-10-28,0.930000,0.930000,0.900000,0.910000,0.842366,477400
2019-10-29,0.910000,0.920000,0.900000,0.900000,0.833109,200700
2019-10-30,0.900000,0.910000,0.900000,0.900000,0.833109,248200
2019-10-31,0.900000,0.910000,0.900000,0.910000,0.842366,80200
2019-11-01,0.910000,0.950000,0.910000,0.940000,0.870137,252800
2019-11-04,0.940000,0.990000,0.920000,0.950000,0.879393,1263700
2019-11-05,0.960000,1.000000,0.950000,0.960000,0.888650,771700
2019-11-06,0.960000,0.980000,0.960000,0.980000,0.907164,110900
2019-11-07,0.970000,0.980000,0.960000,0.970000,0.897907,135300
2019-11-08,0.970000,0.980000,0.960000,0.960000,0.888650,130500
2019-11-11,0.970000,0.970000,0.940000,0.940000,0.870137,264700
2019-11-12,0.950000,0.950000,0.940000,0.940000,0.870137,226500
2019-11-13,0.940000,0.950000,0.940000,0.950000,0.879393,278200
2019-11-14,0.950000,0.950000,0.940000,0.940000,0.870137,274500
2019-11-15,0.940000,0.940000,0.920000,0.920000,0.851623,243700
2019-11-18,0.930000,0.930000,0.910000,0.910000,0.842366,269100
2019-11-19,0.910000,0.920000,0.900000,0.910000,0.842366,281000
2019-11-20,0.910000,0.910000,0.900000,0.910000,0.842366,463600
2019-11-21,0.900000,0.910000,0.880000,0.880000,0.814596,812800
2019-11-22,0.880000,0.890000,0.880000,0.890000,0.823853,301300
2019-11-25,0.890000,0.900000,0.890000,0.900000,0.833109,53000
2019-11-26,0.900000,0.910000,0.890000,0.890000,0.823853,168900
2019-11-27,0.900000,0.910000,0.890000,0.890000,0.823853,149600
2019-11-28,0.890000,0.940000,0.890000,0.910000,0.842366,640100
2019-11-29,0.910000,0.920000,0.900000,0.900000,0.833109,125100
2019-12-02,0.910000,0.910000,0.890000,0.890000,0.823853,320000
2019-12-03,0.890000,0.990000,0.890000,0.900000,0.833109,3617700
2019-12-04,0.900000,0.920000,0.880000,0.880000,0.814596,1085300
2019-12-06,0.880000,0.890000,0.840000,0.840000,0.777569,1625600
2019-12-09,0.850000,0.850000,0.830000,0.840000,0.777569,379400
2019-12-11,0.840000,0.840000,0.820000,0.830000,0.768312,1187200
2019-12-12,0.830000,0.830000,0.810000,0.820000,0.759055,602400
2019-12-13,0.820000,0.830000,0.800000,0.800000,0.740542,953300
2019-12-16,0.820000,0.820000,0.790000,0.790000,0.731285,705100
2019-12-17,0.800000,0.800000,0.790000,0.800000,0.740542,19700
2019-12-18,0.800000,0.810000,0.790000,0.800000,0.740542,241600
2019-12-19,0.800000,0.810000,0.790000,0.800000,0.740542,619100
2019-12-20,0.800000,0.830000,0.800000,0.820000,0.759055,919300
2019-12-23,0.820000,0.820000,0.810000,0.810000,0.749799,133400
2019-12-24,0.820000,0.820000,0.810000,0.810000,0.749799,113900
2019-12-25,0.820000,0.830000,0.810000,0.810000,0.749799,206000
2019-12-26,0.810000,0.830000,0.810000,0.810000,0.749799,285300
2019-12-27,0.810000,0.820000,0.810000,0.820000,0.759055,88500
2019-12-30,0.830000,0.830000,0.820000,0.820000,0.759055,305900
2020-01-02,0.820000,0.840000,0.820000,0.840000,0.777569,569600
2020-01-03,0.840000,0.870000,0.840000,0.870000,0.805339,871700
2020-01-06,0.830000,0.860000,0.830000,0.850000,0.786826,474100
